"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX1",0,-1.88370948121506,0.319,0.918,0
"MT-ND3",0,-2.3879784539063,0.143,0.734,0
"SGCZ",0,-1.96385645149504,0.256,0.846,0
"CNTNAP5",0,-1.59768517109576,0.273,0.851,0
"SOX4",0,-1.76678090666177,0.244,0.81,0
"OPCML",0,-1.74406538835132,0.179,0.744,0
"GALNTL6",0,-1.58012560772251,0.255,0.811,0
"ADARB2",0,-1.62253107895019,0.223,0.775,0
"CADM2",0,-1.18735190844684,0.339,0.885,0
"NTNG1",0,-2.05024662887295,0.141,0.683,0
"SYT1",0,-1.15703051874093,0.245,0.786,0
"NRG3",0,-1.13347192529716,0.28,0.818,0
"CCSER1",0,-1.13178268424456,0.263,0.791,0
"NOVA1",0,-1.21549473500823,0.244,0.769,0
"ADGRL3",0,-0.984490628589859,0.37,0.885,0
"SLC8A1",0,-1.1215981876771,0.232,0.745,0
"GPM6A",0,-1.01452575611356,0.325,0.838,0
"CHL1",0,-1.11296870701953,0.247,0.757,0
"CTNNA2",0,-0.838333499744463,0.379,0.888,0
"MAGI2",0,-1.28262424207318,0.193,0.701,0
"DCC",0,-0.92600270009773,0.285,0.788,0
"LSAMP",0,-0.731435984458059,0.352,0.85,0
"NAV3",0,-0.8062687794637,0.269,0.764,0
"PBX1",0,-0.992569203995254,0.414,0.903,0
"EBF1",0,-1.43358153558376,0.176,0.662,0
"SFPQ",0,-0.971827560960717,0.229,0.714,0
"PTPRO",0,-0.829937310326494,0.251,0.736,0
"NLGN1",0,-0.804795228547358,0.258,0.742,0
"HNRNPA2B1",0,-0.673726782793884,0.359,0.837,0
"CACNA2D1",0,-0.883657580496418,0.269,0.747,0
"ANK3",0,-0.628737312671508,0.397,0.875,0
"NTM",0,-0.803921531589231,0.257,0.735,0
"CELF4",0,-0.881202309613118,0.264,0.742,0
"CELF2",0,-0.666872060725416,0.322,0.799,0
"GRID2",0,-1.5487739637667,0.167,0.641,0
"MAGED1",0,-0.689799798243721,0.299,0.772,0
"CNTNAP2",0,-0.594221214013975,0.3,0.772,0
"NNAT",0,-1.57201387878604,0.464,0.936,0
"LMO3",0,-0.90579180617022,0.265,0.734,0
"FAT3",0,-1.43024321026905,0.188,0.656,0
"FTX",0,-0.581496018968827,0.4,0.868,0
"RPRM",0,-1.51201145482072,0.142,0.609,0
"NPAS3",0,-1.67021469119907,0.13,0.592,0
"GPC6",0,-0.973570286970981,0.243,0.703,0
"RIMS2",0,-1.05338488585133,0.183,0.641,0
"KIF5C",0,-0.660511749076053,0.4,0.857,0
"NRG1",0,-0.995938664068177,0.226,0.682,0
"AC092691.1",0,-0.652533307282881,0.275,0.729,0
"NRXN1",0,-0.554672902432954,0.446,0.898,0
"C4orf48",0,-1.00029021659707,0.309,0.761,0
"H1FX",0,-0.918394789898607,0.183,0.634,0
"AKAP9",0,-0.560489311711364,0.282,0.733,0
"ANK2",0,-0.438509533611972,0.409,0.858,0
"DSCAM",0,-0.765191656575069,0.247,0.695,0
"LRRC7",0,-1.11042423067196,0.195,0.642,0
"RAB3C",0,-0.461477347290713,0.346,0.79,0
"MYT1L",0,-1.20370739572617,0.161,0.605,0
"GPHN",0,-0.744721112073556,0.22,0.663,0
"AUTS2",0,-0.433250887048902,0.437,0.88,0
"RERE",0,-0.384354345859968,0.375,0.816,0
"NBEA",0,-0.598528494240823,0.272,0.712,0
"FOXP1",0,-0.650175148425566,0.23,0.668,0
"FNBP1L",0,-0.367383183319104,0.343,0.781,0
"GLRA2",0,-0.625526253101821,0.29,0.727,0
"HMGN1",0,-0.563415829336197,0.272,0.708,0
"AL157778.1",0,-1.1682340571523,0.166,0.601,0
"CLASP2",0,-0.443961516802554,0.296,0.73,0
"RBFOX2",0,-0.383692897411769,0.325,0.759,0
"SPTAN1",0,-0.463225976718319,0.356,0.789,0
"USP11",0,-0.578176307410635,0.344,0.777,0
"GRIA2",0,-1.20360334399643,0.177,0.61,0
"PPP2R2B",0,-0.336561432082052,0.33,0.763,0
"CSRNP3",0,-0.749021072790659,0.207,0.639,0
"RUNX1T1",0,-0.493496485979597,0.31,0.74,0
"NCALD",0,-0.630463226587528,0.267,0.697,0
"AKAP6",0,-0.515439857903883,0.28,0.71,0
"PODXL2",0,-0.579534690809172,0.277,0.706,0
"WSB1",0,-0.893478027282213,0.227,0.655,0
"FAM155A",0,-0.278276156439782,0.334,0.761,0
"NCAM1",0,-0.880874544257241,0.521,0.948,0
"LMX1A",0,-0.813895939149289,0.208,0.634,0
"FUS",0,-0.589928902830709,0.24,0.666,0
"NEFM",0,-0.777890419657908,0.259,0.684,0
"ATP5F1E",0,-0.906058450955517,0.366,0.79,0
"DDX24",0,-0.700390450492215,0.199,0.623,0
"KIFAP3",0,-0.569805604525949,0.246,0.669,0
"SEZ6L2",0,-0.803412679878832,0.187,0.608,0
"HIST1H4C",0,-2.21308368255001,0.052,0.472,0
