ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,82/3368,161/18903,9.215665241065795e-22,5.661183157586718e-18,4.8357990764961045e-18,RPS29/RPS26/RPS21/RPS28/RPL38/DENR/SH3BGRL/RPS2/DHX29/EIF3K/RPS18/ZC3H15/CPEB3/NEMF/EIF5/RWDD1/EIF2S3/RPL39/RPL13/EIF3M/CNBP/EIF4G1/EIF3I/EIF4H/RPL18A/EIF2B3/RPL32/EIF3A/RPS3A/SLBP/DPH3/SYNCRIP/UNK/RPL13A/EIF3E/RPS17/EIF3F/PABPC1/RPL8/DRG1/EIF4A2/RPL23/RPL31/RPL12/EIF3H/RPL15/RPS20/FMR1/EIF3B/YBX1/EIF4A1/EIF4B/ETF1/RPL27/RPL9/RPS8/RPS4X/RPS25/EIF3D/RPL10/RPS6/RPLP0/RPL26/RPL7A/RPL27A/RPL18/RPL23A/RPL19/RPL29/UBA52/RPS5/RPL4/RPL3/RPL10A/RPS14/RPL6/RPL24/RPS24/RPS9/RPL7/RPL14/RPLP1,82
GO:0050804,modulation of chemical synaptic transmission,161/3368,448/18903,1.8209814514327583e-20,4.651169666708855e-17,3.97304262250463e-17,NTNG1/SYT1/NRG3/DCC/NLGN1/CELF4/GRID2/RIMS2/NRXN1/AKAP9/CNTN4/GRM8/GRIN2B/NLGN4X/ERC2/GSK3B/GRIA1/PTPRD/PRKAR2B/PPP3CA/RIMS1/PFN2/CDH2/GRIK2/CASK/GRID1/PTPRA/ELAVL4/SNCA/SORCS3/CLSTN1/GRM7/PLCL2/RAPGEF2/JPH4/SYN3/PRRT2/PRKCB/PSMC5/CHRM2/EPHB1/CSPG5/CNR1/CDK5/LRRC4C/SNAPIN/PPP1R9A/TMEM108/PCDH17/SHISA6/SLC1A1/CACNA1B/PNKD/CACNA1A/CACNB4/SLC6A1/MAP1B/APBA2/PLCL1/CUX2/LRP8/NLGN3/MAP1A/CPEB3/MAPT/PRKN/NPAS4/HRAS/PPP3CB/DLGAP2/PINK1/APP/NALCN/ATP2A2/HOMER1/DTNBP1/TUBB2B/KIF5B/SYT11/SLC4A10/PRKCE/STXBP5/SNCAIP/KCTD13/STAU1/CBLN1/ABHD6/GLUL/SLC38A2/HOMER3/SYN1/CACNG2/PRNP/LGI1/CACNG8/GRM3/NCSTN/CNTNAP4/PTEN/VGF/CAMK2A/ACHE/JAK2/MECP2/OPHN1/GRIN3A/NTRK2/SLC24A2/SERPINE2/PRKACA/ADCY1/SLC8A3/RAB5A/MAPK1/STXBP1/PRKCZ/PLK2/TPRG1L/NETO1/MTMR2/ABR/CACNG4/ADGRB1/AKAP12/NSMF/BDNF/PICK1/TBC1D24/SYT7/PPFIA3/NPTXR/FMR1/SYNGR1/DLG4/BCR/DGKZ/PXK/YTHDF1/PACSIN2/SQSTM1/STX4/SHISA9/UNC13A/LRRTM2/BRSK1/SNAP25/CACNG7/NEURL1/BEGAIN/SORCS2/CPLX2/GIT1/JPH3/RIMS3/SHANK1/SYNGAP1/CRTC1/CDH11/ATF4/CALM3/YWHAG,161
GO:0099177,regulation of trans-synaptic signaling,161/3368,449/18903,2.350498189090305e-20,4.651169666708855e-17,3.97304262250463e-17,NTNG1/SYT1/NRG3/DCC/NLGN1/CELF4/GRID2/RIMS2/NRXN1/AKAP9/CNTN4/GRM8/GRIN2B/NLGN4X/ERC2/GSK3B/GRIA1/PTPRD/PRKAR2B/PPP3CA/RIMS1/PFN2/CDH2/GRIK2/CASK/GRID1/PTPRA/ELAVL4/SNCA/SORCS3/CLSTN1/GRM7/PLCL2/RAPGEF2/JPH4/SYN3/PRRT2/PRKCB/PSMC5/CHRM2/EPHB1/CSPG5/CNR1/CDK5/LRRC4C/SNAPIN/PPP1R9A/TMEM108/PCDH17/SHISA6/SLC1A1/CACNA1B/PNKD/CACNA1A/CACNB4/SLC6A1/MAP1B/APBA2/PLCL1/CUX2/LRP8/NLGN3/MAP1A/CPEB3/MAPT/PRKN/NPAS4/HRAS/PPP3CB/DLGAP2/PINK1/APP/NALCN/ATP2A2/HOMER1/DTNBP1/TUBB2B/KIF5B/SYT11/SLC4A10/PRKCE/STXBP5/SNCAIP/KCTD13/STAU1/CBLN1/ABHD6/GLUL/SLC38A2/HOMER3/SYN1/CACNG2/PRNP/LGI1/CACNG8/GRM3/NCSTN/CNTNAP4/PTEN/VGF/CAMK2A/ACHE/JAK2/MECP2/OPHN1/GRIN3A/NTRK2/SLC24A2/SERPINE2/PRKACA/ADCY1/SLC8A3/RAB5A/MAPK1/STXBP1/PRKCZ/PLK2/TPRG1L/NETO1/MTMR2/ABR/CACNG4/ADGRB1/AKAP12/NSMF/BDNF/PICK1/TBC1D24/SYT7/PPFIA3/NPTXR/FMR1/SYNGR1/DLG4/BCR/DGKZ/PXK/YTHDF1/PACSIN2/SQSTM1/STX4/SHISA9/UNC13A/LRRTM2/BRSK1/SNAP25/CACNG7/NEURL1/BEGAIN/SORCS2/CPLX2/GIT1/JPH3/RIMS3/SHANK1/SYNGAP1/CRTC1/CDH11/ATF4/CALM3/YWHAG,161
GO:0022613,ribonucleoprotein complex biogenesis,171/3368,489/18903,3.028598187666518e-20,4.651169666708855e-17,3.97304262250463e-17,CELF4/CELF2/LUC7L3/RPS21/RPS28/RPL38/PTBP2/RBMX/HTATSF1/PRPF6/DENR/SRSF10/SNRPG/PRKDC/CHD7/DDX18/PIN4/RBIS/DHX30/DDX1/SNRNP200/DHX29/PUF60/CLNS1A/EIF3K/SF3B5/AGO4/EIF5/SNRPD2/SF3B4/EIF2S3/DDX39B/SF3B6/METTL15/EIF6/RBFA/MPHOSPH6/EIF3M/SNU13/POP5/NSA2/EIF3I/DROSHA/EIF4H/TSR3/MRPL44/SF3A2/GLUL/RAN/EIF3A/NOLC1/GEMIN8/PTEN/GTF3A/SRSF5/RAMAC/RPL13A/POP7/EIF3E/FRG1/EBNA1BP2/DDX3X/NOP56/PRMT7/USP4/GEMIN5/RBMX2/LAS1L/RPS17/KAT2B/ZNF622/EIF3F/UTP11/MTERF3/BUD23/AGO2/SF3A1/MRPS2/NSUN5/MALSU1/SBDS/NOP53/CD2BP2/MRPS11/SNRPA1/DIS3/NUDT16/TRAF7/FBL/RIOK1/NVL/RIOK3/WBP11/ATM/PELP1/TRMT112/SRFBP1/RRN3/MPHOSPH10/HSP90AA1/STRAP/PRPF19/EIF3H/ABT1/GNL2/IMP4/PAK1IP1/EIF3B/DKC1/SART3/PES1/WDR74/EXOSC6/DCAF13/SURF6/EIF4B/DDX49/UTP23/MRPL1/SLU7/DDX23/DDX27/RPP30/NGDN/RPL27/ABCE1/RPS8/SNRPB/TSR1/NMD3/NUDT21/GTPBP4/NOC4L/RPS27L/BRIX1/WDR43/EIF2A/SRSF6/RPS25/PPAN/RPF2/NUFIP1/NIFK/EIF3D/RPL10/RPS6/TENT4B/WDR3/RPLP0/RPL26/RPL7A/KRR1/LSG1/RSL1D1/SFSWAP/METTL16/RPL23A/MDN1/PTGES3/PRPF39/RPS5/RPL10A/TSC1/PRPF3/RPS14/RPL6/RPL24/KHDC4/RPS24/RPL7/RPL14,171
GO:0072594,establishment of protein localization to organelle,156/3368,449/18903,2.851542761120775e-18,3.503405436312984e-15,2.9926190871972765e-15,PPP3CA/UBL5/SEC62/ROMO1/NDUFA13/ATP5IF1/SEC61G/PIK3R1/RPAIN/TOMM7/MTX2/CBLB/TPR/TIMM8B/RANBP17/ZFAND6/PKIG/VPS36/IMMP1L/VPS41/DNAJC15/VPS13A/IPO9/TOMM6/SPIDR/AIFM1/LONP2/CCT8/PAM16/SRP72/TOMM22/RAB10/MAPT/PRKN/AKIRIN2/RAB11A/ZFYVE16/UBE2L3/HK1/LRWD1/KPNB1/IMMP2L/NUP93/TRIM28/AGK/GSK3A/SH3GLB1/PINK1/ZNF827/HERPUD1/SEC13/APPL2/RANGRF/CCT4/BNIP3L/NCOA4/UBE2D3/LAMP1/LMAN1/APPL1/AP3D1/CACNG2/RAN/JUP/NOLC1/PEX1/CACNG8/HSPA5/RALA/ELAVL1/IPO7/RAB7A/ATF2/SRPRA/PTTG1IP/FBXO7/ZDHHC15/HSPD1/UFM1/SPG11/PEX2/JAK2/TIMM17A/NABP2/ING1/SREBF2/GET3/LRSAM1/HDAC3/OXA1L/BAX/VPS37D/TARDBP/SRP54/AIP/SGTA/SEC61A1/AP3B1/TCP1/RBM22/NUP58/SEC61A2/TOMM40/RPL23/CACNG4/TSPAN17/FBXW7/TIMM9/TIMM50/HSP90AA1/PEX5/TNPO2/DKC1/CHMP4B/TIMM22/TXNIP/SRPRB/RANBP2/TNPO3/ZPR1/NUP50/POM121/M6PR/BAP1/SAMM50/MFN2/SQSTM1/SRP68/BAG4/NUP214/PITRM1/CRY2/CACNG7/BECN1/SSR3/CHP1/STAM2/NUP54/NMT1/FAM53C/GNPTG/SGTB/NUP155/POM121C/PTPN23/PRKAA1/TRAM1/TOMM20/LAMP2/PRICKLE1/NUP153/RYR2/ZFAND2A/STAT3/VPS37B/CALM3,156
GO:0050808,synapse organization,149/3368,432/18903,3.477157349293723e-17,3.56002959945189e-14,3.04098761161916e-14,NTNG1/ADGRL3/GPM6A/CTNNA2/PTPRO/NLGN1/ANK3/GRID2/GPC6/NRG1/NRXN1/DSCAM/GPHN/LMX1A/SEZ6L2/ERBB4/GRIN2B/NLGN4X/CTNND2/ERC2/ADGRB3/MYCBP2/PTPRD/NRCAM/PPFIA2/DNM3/CNTN5/ROBO2/PFN2/CHD4/CDH2/ARHGEF9/SNCA/NEGR1/C1QL1/LRFN5/CLSTN1/PCDHB2/IL1RAPL1/APBB2/PIN1/CTBP2/SEZ6L/EPHB1/ZC4H2/CDK5/TUBA1A/SLITRK3/LRRC4C/LRRN1/SNAPIN/GABRA2/CDH8/CBLN2/TMEM108/PCDH17/SHISA6/SLC1A1/GRIPAP1/ADAM10/CACNB4/SLC6A1/MAP1B/TUBB/CAMKV/FZD1/CUX2/LRP8/SYBU/CTTNBP2/VPS35/NLGN3/ACTR2/RHOA/MAPT/PDZRN3/NPAS4/EPHA7/MESD/ARF4/NOS1AP/APP/CDK5R1/L1CAM/MDGA1/HOMER1/DTNBP1/FARP1/EIF4G1/HDAC6/STAU1/CBLN1/ZNF804A/SYN1/CACNG2/PRNP/GABRB3/CDKL5/SRGAP2/LRRC4B/PTEN/GLRB/SDF4/FBXO45/IGSF9/ACHE/ZDHHC15/DIP2A/SPG11/ACTG1/MECP2/OPHN1/ADGRL1/PTPRF/NTRK2/ARMCX5-GPRASP2/SLC8A3/RER1/DLG1/MTMR2/ADGRB1/PFN1/PRMT3/BDNF/NTRK3/LZTS3/PICK1/SPTBN2/RAB39B/PPFIA3/NEFL/CAMK1/DLG4/DLG5/CACNB1/ARF6/CRKL/UNC13A/LRRTM2/NRP2/NEURL1/YWHAZ/IGSF21/BSN/WASF2/SHANK1/SYNGAP1/TSC1/PPFIBP1,149
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,152/3368,450/18903,1.3821312211078223e-16,1.2129188701807645e-13,1.0360788176274427e-13,GSK3B/APC/FAF1/FBXL17/HERC2/RNF5/SMARCC1/PSMC5/SH3BGRL/HECW2/PSMD14/SELENOS/BTRC/ELOB/TRIM9/DDRGK1/ANAPC16/ERLEC1/FBXL2/HECW1/PSMD10/FBXO9/APPBP2/SPOP/JKAMP/APC2/PSMB3/KCTD17/MAP1A/PSMB7/TRIB2/RNF187/HSPA1A/PSMB2/NEMF/USP5/PRKN/AKIRIN2/UBXN2A/KBTBD7/PSMD7/FBXL7/PSMA5/GSK3A/UBE2B/ZYG11B/UCHL1/RNF180/RNF34/HERPUD1/CSNK1E/SIAH1/KCTD13/PSMD3/USP14/UBE2D3/UBE2A/CALR/TBL1XR1/RAD23A/HSPA5/PCNP/TMUB2/UBE2J1/UBE2K/ERCC8/FBXO45/PELI1/CUL3/USP9X/ARIH1/DCAF12/PSMD12/HSPA1B/DERL1/FEM1B/CDC34/RAD23B/UBQLN4/SGTA/TMUB1/SH3RF1/WAC/PSMD8/GLMN/MTA1/CUL2/CDC27/SIAH2/KLHL20/UFD1/BAG5/FBXL13/KEAP1/NOP53/NHLRC3/UBXN7/CRBN/PPP2CB/FBXW7/CDC16/CANX/TLK2/RNF126/RCHY1/HACE1/FAF2/DESI1/RNF14/BFAR/EIF3H/PSMA7/USP7/CAMLG/UBE4A/UBQLN1/DERL2/SOCS5/TOPORS/FBXL4/SOCS4/LTN1/FAM8A1/PSMB4/ATXN3/UBXN2B/DNAJB9/GID8/CSNK1D/FBXL3/NPLOC4/PCBP2/WDR26/AREL1/RYBP/SGTB/RNF4/PPP2R5C/AMFR/SIRT1/MDM2/MKRN2/KCTD10/PRICKLE1/FEM1C/FBXO31/FZR1/ZFAND2A/SUMO2/RMND5A/AGAP3/KLHL15,152
GO:0008380,RNA splicing,154/3368,469/18903,1.450976244949831e-15,1.086991678431973e-12,9.285114451165445e-13,RBFOX1/NOVA1/SFPQ/HNRNPA2B1/CELF4/CELF2/RBFOX2/FUS/DDX5/SON/SRRM4/KHDRBS1/LUC7L3/HNRNPK/UBL5/RPS26/ZNF638/PTBP2/PIK3R1/HNRNPL/ELAVL4/TAF15/RBMX/ZRANB2/HTATSF1/PRPF6/TRA2B/SRSF10/HNRNPM/SNRPG/SRSF7/RBM6/SUPT3H/TIA1/THOC7/RNPC3/ZNF326/DDX1/SUPT20H/PDCD7/SREK1IP1/SNRNP200/AKAP8L/PUF60/CLNS1A/SRRM1/FAM172A/RBM41/SF3B5/GRSF1/HSPA1A/SNRNP35/RBM8A/RNPS1/SNRPD2/RBM23/TMBIM6/SF3B4/CCNL2/SRSF3/DDX39B/SF3B6/TAF10/PPIG/RSRC1/SNU13/ZBTB8OS/HNRNPF/CDC5L/MBNL1/RBFOX3/SF3A2/HNRNPH1/NSRP1/LSM10/SLC38A2/PQBP1/NOVA2/GEMIN8/BCAS2/C9orf78/SCNM1/IVNS1ABP/RP9/SRSF5/SYNCRIP/KHDRBS2/CWC15/FRG1/PRMT7/USP4/SMNDC1/PRDX6/TARDBP/GEMIN5/RBMX2/KAT2B/BUD31/PABPC1/CLK2/RBM22/SF3A1/DHX8/DAZAP1/PRPF38B/CD2BP2/SAP18/SNRPA1/TSEN2/RBM3/CASC3/TAF12/DDX41/ATXN7L3/PPP1R8/WBP11/MPHOSPH10/STRAP/PRPF19/CIR1/PPIE/U2AF2/FMR1/HABP4/SART3/YBX1/ECD/PRPF38A/DDX39A/CWC22/SLU7/DDX23/ZPR1/KHSRP/RBM7/POLR2A/SNRPB/PRPF4/SRSF6/CLK3/DYRK1A/RBM14/RRAGC/CLK1/SFSWAP/KHDRBS3/METTL16/C2orf49/PRPF39/HNRNPC/PRPF3/CCNL1/KHDC4/MBNL2,154
GO:0016358,dendrite development,94/3368,237/18903,1.5925321676522477e-15,1.086991678431973e-12,9.285114451165445e-13,CTNNA2/DCC/NLGN1/FAT3/DSCAM/RERE/CTNND2/ADGRB3/KIDINS220/MAP6/GSK3B/PTPRD/PPP3CA/PPFIA2/DNM3/DAB1/PHACTR1/ELAVL4/TNIK/ACTL6B/IL1RAPL1/MARK1/RAPGEF2/SLC12A5/PRKG1/EPHB1/HECW2/CDK5/GRIP1/DCLK1/SEMA3A/HECW1/BTBD3/MAP1B/CUX2/LRP8/FSTL4/ACTR2/MAP1A/RHOA/KLHL1/BCL11A/CPEB3/CAMK1D/ARF4/GSK3A/APP/PARP6/CSMD3/CDK5R1/ID1/DTNBP1/FARP1/HDAC6/CDKL5/PQBP1/SRGAP2/HPRT1/PTEN/CAMK2A/MAP1S/IGSF9/ZDHHC15/DIP2A/MECP2/GRIN3A/EZH2/VLDLR/CRK/ARMCX5-GPRASP2/PICALM/KIAA0319/NSMF/PRMT3/LZTS3/TBC1D24/CAMK1/FMR1/DLG4/MINK1/DLG5/SS18L1/RAB21/ARF6/CRKL/NEURL1/TAOK2/IQSEC1/SLC11A2/SHANK1/SYNGAP1/CDKL3/CRTC1/FBXO31,94
GO:0010975,regulation of neuron projection development,148/3368,446/18903,1.9313532146823154e-15,1.1864302797793462e-12,1.0134521868622467e-12,NTNG1/CTNNA2/MAGI2/DCC/PTPRO/NLGN1/GRID2/FAT3/DSCAM/LRRC7/GPC2/ADGRB3/KIDINS220/MAP6/MYCBP2/MACF1/GSK3B/PTPRD/PPP3CA/NRCAM/CNTN1/PPFIA2/DNM3/CCDC88A/FEZ1/ROBO2/DAB1/CDH2/ELAVL4/NEGR1/ROBO1/TNIK/SEMA6D/IL1RAPL1/MARK1/TENM3/RAPGEF2/SLIT2/ATP8A2/PLXNA4/HECW2/PLXNA2/CNR1/CDK5/LRRC4C/SNAPIN/SEMA3A/HECW1/NR2F1/NIN/MAP1B/FZD1/CUX2/LRP8/FSTL4/ACTR2/RHOA/BCL11A/TIAM1/MAPT/CAMK1D/EPHA7/FUT9/GSK3A/PARP6/CSMD3/STK25/CDK5R1/L1CAM/PTPN9/ID1/DTNBP1/TUBB2B/ARHGAP35/SNX3/FKBP1B/SF3A2/ZNF804A/DGUOK/CRABP2/CDKL5/PQBP1/NOVA2/TMEM30A/HSPA5/PRKCI/EFNB3/PLPPR5/PTEN/ACAP3/IFRD1/FIG4/EPHA3/FBXO7/ZDHHC15/BMPR2/EZH2/PTPRF/GOLGA4/VLDLR/NTRK2/CRK/ARMCX5-GPRASP2/PPP2R5B/BAG5/STK24/MDK/KIAA0319/BRSK2/NSMF/BDNF/NTRK3/LZTS3/MBP/TBC1D24/NEFL/NDRG4/RGMA/CAMK1/PLXNA1/LIMK1/PAQR3/EP300/SS18L1/YTHDF1/RAB21/ARF6/CRKL/LRIG2/TRIM67/BRSK1/SNAP25/DENND5A/DRAXIN/RGS2/GAK/NDEL1/TIAM2/MAP2K1/SYNGAP1/CDKL3/RAPGEF1/CRTC1/FBXO31/NCS1/TSC1/DIXDC1/SKIL,148
