"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","133/1808","489/18903",7.88207829600526e-30,4.46204452336858e-26,3.89623575558323e-26,"22827/27335/83443/1983/6633/10262/1968/7919/51639/3692/10480/4809/10412/8668/7458/115939/65080/8175/2752/5901/8661/9221/5728/2971/6430/83640/23521/10248/3646/2483/10969/1654/10528/51634/6218/90441/8665/51118/114049/27161/10291/51116/55695/115416/51119/29997/10421/64963/6627/22894/131870/84231/2091/83732/8780/51729/27043/51504/153443/54700/10199/3320/11171/27339/8667/29777/29889/92856/55003/8662/1736/9733/23481/54663/118460/25879/6838/1975/54555/84294/65008/10569/9416/55661/10556/25983/6155/6059/6202/6628/55720/51068/11051/23560/79050/51065/55299/23160/83939/6431/6230/56342/84154/26747/84365/8664/6134/6194/64282/10885/6175/6154/6130/11103/55341/26156/6433/79066/6147/23195/10728/55015/6193/4736/7248/9129/6208/6128/6152/22889/6229/6129/9045",133
"GO:0002181","cytoplasmic translation","69/1808","161/18903",7.64327762840322e-29,2.16342973271953e-25,1.88909640752534e-25,"6187/27335/6222/55854/1983/51389/1968/6137/10480/7555/1981/8668/7458/6142/6161/8661/6189/7884/285381/10492/23521/3646/6218/8665/26986/6132/4733/1974/9349/6160/6136/8667/6138/6224/2332/8662/4904/1973/1975/2107/6155/6133/6202/6191/6230/8664/6134/6194/6175/6154/6130/6157/6141/6147/6143/6159/7311/6193/6124/6122/4736/6208/6128/6152/6229/6203/6129/9045/6176",69
"GO:0042254","ribosome biogenesis","90/1808","310/18903",1.24483769028952e-22,2.34900872157632e-19,2.05114308547354e-19,"3692/4809/10412/115939/65080/2752/5901/9221/5728/2971/10248/2483/10969/1654/10528/6218/90441/51118/114049/51116/55695/115416/51119/29997/64963/22894/131870/84231/2091/83732/8780/51729/27043/51504/153443/54700/10199/29777/29889/92856/55003/1736/23481/54663/118460/25879/6838/54555/84294/65008/55661/10556/25983/6155/6059/6202/55720/51068/23560/79050/51065/55299/23160/83939/6230/56342/84154/84365/6134/6194/64282/10885/6175/6154/6130/11103/55341/26156/79066/6147/23195/6193/4736/7248/6208/6128/6152/6229/6129/9045",90
"GO:0072594","establishment of protein localization to organelle","109/1808","449/18903",2.19208175056358e-20,3.10234369748511e-17,2.70895155280173e-17,"100188893/10694/51025/6731/56993/10890/55122/8766/7332/3098/3837/10155/2931/51100/65018/9709/6396/10575/665/8031/7323/3916/3998/26060/8943/5901/3728/9221/3309/5898/1994/10527/7879/1386/6734/754/25793/3329/51569/10440/79035/6721/439/5018/581/155382/23435/6729/9049/6449/29927/6950/55696/9818/55176/10452/9349/27092/26262/55294/26520/92609/3320/5830/30000/1736/128866/29928/10628/58477/5903/23534/8882/10762/9883/4074/8314/25813/9927/8878/6730/9530/8021/10531/1408/59284/8678/6747/11261/10254/53371/4836/51307/84572/54557/9631/100101267/25930/5562/23471/9804/3920/144165/9972/6262/90637/6774/79720/808",109
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","107/1808","450/18903",2.59188645548894e-19,2.93453384490458e-16,2.56242079894233e-16,"5716/5691/4130/5695/28951/149603/3303/5690/55122/5713/5686/2931/7320/79699/9709/1454/6477/253980/5709/9097/7323/7319/811/79718/5886/3309/57092/51465/3093/200933/8452/8239/25820/25853/5718/3304/79139/10116/997/5887/56893/6449/83590/51322/5714/9112/8453/996/6478/7353/9529/9817/29997/26043/51185/5516/55294/8881/821/11011/55658/25898/23197/27351/9604/51283/8667/5688/7874/819/9354/29979/51009/9655/10210/122809/26046/51439/5692/4287/137886/4189/54994/1453/26224/55666/5094/80232/9870/23429/54557/6047/5527/267/23411/4193/23609/83892/144165/56929/79791/51343/90637/6613/64795/116988/80311",107
"GO:0006413","translational initiation","47/1808","123/18903",1.21597020328575e-17,1.1472678868001e-14,1.00178878502278e-14,"27335/1983/1968/3692/5436/10480/1981/8668/7458/8661/6189/7884/9689/23521/3646/1965/23367/27102/1654/6218/8665/9470/27161/1974/9811/10289/8667/2332/22927/8662/1973/1975/54915/6059/253943/83939/10209/8664/5611/8892/23645/6193/1982/3315/6198/468/127933",47
"GO:0016072","rRNA metabolic process","72/1808","268/18903",2.37311682182099e-16,1.91917347547552e-13,1.67581302184532e-13,"79002/3692/4809/10412/115939/65080/9221/2971/10248/2483/10969/10528/6218/51118/9191/114049/55695/51119/29997/64963/22894/131870/2091/83732/8780/51729/27043/51504/153443/10199/29777/92856/1736/9329/23481/54663/118460/25879/53918/54555/84294/65008/55661/10556/25983/6155/84186/6202/55720/23560/79050/55299/23160/6230/56342/84154/84365/6194/64282/10885/6154/6130/11103/2972/26156/79066/23195/4736/6208/6229/6129/9045",72
"GO:0006364","rRNA processing","65/1808","229/18903",3.63837785325459e-16,2.57460712840928e-13,2.24813452616889e-13,"3692/4809/10412/115939/65080/9221/10248/2483/10969/10528/6218/51118/114049/55695/51119/29997/64963/22894/131870/2091/83732/8780/51729/27043/51504/153443/10199/29777/92856/1736/23481/54663/118460/25879/54555/84294/65008/55661/10556/25983/6155/6202/55720/23560/79050/55299/23160/6230/56342/84154/84365/6194/64282/10885/6154/6130/11103/26156/79066/23195/4736/6208/6229/6129/9045",65
"GO:0006913","nucleocytoplasmic transport","79/1808","329/18903",7.87246501408541e-15,4.45660244447375e-12,3.89148375854159e-12,"5902/9939/55122/3837/6428/7919/10155/10541/3692/6396/26060/811/5901/3728/9221/1994/10527/5501/1386/754/51569/84248/3313/23435/2010/5566/5494/26097/55696/9818/9349/129138/22794/27351/23049/3320/23039/54890/8536/30000/10628/25909/5903/23534/84271/10212/11269/8882/10762/9883/11260/81929/6059/5905/51068/80824/8878/3267/9887/8021/1408/23214/11261/23279/53371/8498/51307/51496/55341/9631/100101267/5310/144165/23195/9972/7248/6774/23325/127933",79
"GO:0051169","nuclear transport","79/1808","329/18903",7.87246501408541e-15,4.45660244447375e-12,3.89148375854159e-12,"5902/9939/55122/3837/6428/7919/10155/10541/3692/6396/26060/811/5901/3728/9221/1994/10527/5501/1386/754/51569/84248/3313/23435/2010/5566/5494/26097/55696/9818/9349/129138/22794/27351/23049/3320/23039/54890/8536/30000/10628/25909/5903/23534/84271/10212/11269/8882/10762/9883/11260/81929/6059/5905/51068/80824/8878/3267/9887/8021/1408/23214/11261/23279/53371/8498/51307/51496/55341/9631/100101267/5310/144165/23195/9972/7248/6774/23325/127933",79
